"Scenario","N_Samples","R2","F_Stat","Phi_ST"
"S2: mind=0.05",293,0.6534,135.73,0.6534
"S3: mind=0.10",98,0.3818,59.29,0.3818
"M0: MAF=none",379,0.6648,185.47,0.6648
"M1: MAF=0.01",379,0.6651,185.66,0.6651
"M2: MAF=0.03",379,0.674,193.27,0.674
"M4: MAF=0.10",379,0.6935,211.51,0.6935
"G2: GENO=0.02",379,0.6759,195.03,0.6759
"G1: GENO=0.10",379,0.681,199.6,0.681
"G0: GENO=0.20",379,0.6852,203.53,0.6852
"Gnone: GENO=none",379,0.6764,195.47,0.6764
"L_0.5: LD<0.5",379,0.6649,185.56,0.6649
"L_0.8: LD<0.8",379,0.7215,242.19,0.7215
"L100: 100/10/0.2",379,0.6237,154.98,0.6237
"Lnone: no LD",379,0.8431,502.5,0.8431
"rice_pruned",379,0.6773,196.29,0.6773
"rice_pruned2",379,0.6778,196.71,0.6778
"rice_pruned3",379,0.6801,198.8,0.6801
