"Scenario","Short","Dim","N_SNPs","Mean_MAF","Mean_PIC","Mean_He","Mean_Shannon","Mean_Ho"
"S0:NoMind","S0","Sample",1166,0.283893893653516,0.348292628110806,0.348292628110806,0.518738211951174,0.000516169311815582
"S1:Mind10After","S1","Sample",1161,0.282062764857881,0.346094885155383,0.346094885155383,0.516183133676938,0.000398145650654017
"S2:Mind05","S2","Sample",1064,0.302844285714286,0.370383470307143,0.370383470307143,0.545486882369246,6.80451961854374e-05
"S3:Mind10Baseline","S3","Sample",1187,0.285497320977254,0.350545351426116,0.350545351426116,0.521728606573005,0.000291850007326908
"S4:Mind02","S4","Sample",597,0.257763199329983,0.325112362253601,0.325112362253601,0.493103551928744,5.1988969792272e-05
"M0:MAFnone","M0","MAF",1638,0.220729054334554,0.275998869151432,0.275998869151432,0.421885599816851,0.000616471117617229
"M1:MAF01","M1","MAF",1601,0.224377020612117,0.280218860925547,0.280218860925547,0.427728178119586,0.000629095720662744
"M2:MAF03","M2","MAF",1386,0.255598585858586,0.317198262889177,0.317198262889177,0.478502169616098,0.000720916031246207
"M4:MAF10","M4","MAF",844,0.353799526066351,0.417883909336493,0.417883909336493,0.602959208438715,0.0011029461308792
"G0:GENOnone","G0","GENO",1437,0.291093660403619,0.353003125119415,0.353003125119415,0.52405336502714,0.000682906463995174
"G1:GENO20","G1","GENO",1404,0.291279736467236,0.354583956584188,0.354583956584188,0.526144197433364,0.00071803808865617
"G2:GENO10","G2","GENO",1299,0.288760207852194,0.353321089652502,0.353321089652502,0.524869026372677,0.00076214313797781
"G4:GENO02","G4","GENO",982,0.281584063136456,0.346082035643381,0.346082035643381,0.516044316077735,0.000483025706846666
"L0:LDnone","L0","LD",26474,0.258328674548614,0.353836089258299,0.353836089258299,0.530715055815502,0.000393185655267547
"L1:LD08","L1","LD",9609,0.22997671141638,0.322913335579103,0.322913335579103,0.494370167475493,0.00041161719301254
"L2:LD05","L2","LD",4278,0.229384121084619,0.314881729621646,0.314881729621646,0.483366381446848,0.000468646555826029
"L4:LD100","L4","LD",822,0.28733895377129,0.348306701683698,0.348306701683698,0.518482842474603,0.00105236399228272
