"Scenario","Samples","SNPs","Clusters","Fst_mean","Fst_sd","Short","Baseline"
"L4_LD100",383,822,5,0.353052,NA,"L4","Scenario"
"L0_LDnone",383,26474,5,0.608717,NA,"L0","Scenario"
"S3_Mind10Before",379,1187,5,0.423292,NA,"S3","Baseline"
"Gnone_GenoNone",383,1437,5,0.414901,NA,"G0","Scenario"
"G4_Geno02",383,982,5,0.418811,NA,"G4","Scenario"
"M1_MAF01",383,1601,5,0.352519,NA,"M1","Scenario"
"G2_Geno10",383,1299,5,0.396808,NA,"G2","Scenario"
"M0_MAFnone",383,1638,5,0.348084,NA,"M0","Scenario"
"S4_Mind02",98,597,5,0.293478,NA,"S4","Scenario"
"S0_NoMind",413,1166,5,0.41387,NA,"S0","Scenario"
"L1_LD08",383,9609,5,0.496507,NA,"L1","Scenario"
"S2_Mind05",293,1064,5,0.383395,NA,"S2","Scenario"
"M4_MAF10",383,844,5,0.448661,NA,"M4","Scenario"
"S1_Mind10After",409,1161,5,0.415585,NA,"S1","Scenario"
"L2_LD05",383,4278,5,0.433549,NA,"L2","Scenario"
"M2_MAF03",383,1386,5,0.394479,NA,"M2","Scenario"
