"Scenario","n_SNPs","Bin","Midpoint_kb","Mean_r2","N_pairs"
"L0:LDnone",26474,"0-10",5,0.429604436272617,60092
"L0:LDnone",26474,"10-50",30,0.366880775210529,119826
"L0:LDnone",26474,"50-100",75,0.336429966363308,142853
"L0:LDnone",26474,"100-200",150,0.313538146576651,223744
"L0:LDnone",26474,"200-500",350,0.275561090354797,583143
"L0:LDnone",26474,"500-1000",750,0.245378241387669,803234
"L0:LDnone",26474,"1000-5000",3000,NA,NA
"L1:LD08",9609,"0-10",5,0.207077335133898,7527
"L1:LD08",9609,"10-50",30,0.187789659353121,14460
"L1:LD08",9609,"50-100",75,0.173644095409322,18690
"L1:LD08",9609,"100-200",150,0.155607859656238,34972
"L1:LD08",9609,"200-500",350,0.127999733620416,98535
"L1:LD08",9609,"500-1000",750,0.112179191951161,147569
"L1:LD08",9609,"1000-5000",3000,NA,NA
"L2:LD05",4278,"0-10",5,0.137559755743252,1579
"L2:LD05",4278,"10-50",30,0.124533859155926,3027
"L2:LD05",4278,"50-100",75,0.108752865550668,3753
"L2:LD05",4278,"100-200",150,0.100884517925126,6953
"L2:LD05",4278,"200-500",350,0.0837917773264953,20350
"L2:LD05",4278,"500-1000",750,0.075613069003707,30681
"L2:LD05",4278,"1000-5000",3000,NA,NA
"L3:LD02(baseline)",1187,"0-10",5,0.0744522725728,125
"L3:LD02(baseline)",1187,"10-50",30,0.0722423093173077,260
"L3:LD02(baseline)",1187,"50-100",75,0.0778454791926573,286
"L3:LD02(baseline)",1187,"100-200",150,0.0774729252952201,527
"L3:LD02(baseline)",1187,"200-500",350,0.066615714979933,1537
"L3:LD02(baseline)",1187,"500-1000",750,0.075848092082823,2238
"L3:LD02(baseline)",1187,"1000-5000",3000,NA,NA
"L4:LD100_10_02",822,"0-10",5,0.0698718883731343,67
"L4:LD100_10_02",822,"10-50",30,0.0738572397428571,126
"L4:LD100_10_02",822,"50-100",75,0.062895081061745,149
"L4:LD100_10_02",822,"100-200",150,0.0584223509868531,286
"L4:LD100_10_02",822,"200-500",350,0.0488045211132634,786
"L4:LD100_10_02",822,"500-1000",750,0.0426177815770259,1120
"L4:LD100_10_02",822,"1000-5000",3000,NA,NA
