"NSFTV_ID","FAM_ID","Exclusion_Step","GSOR_ID","Accession_Name","Country","Subpopulation_CrossRef","Subpopulation_Passport"
"NSFTV_72",72,"Mind_413to409","301065","IR 8","Philippines","IND","IND"
"NSFTV_194",194,"Mind_413to409","301185","HG 24","Burkina Faso","ADMIX","ADMIX"
"NSFTV_252",252,"Mind_413to409","301242","Djimoron","Guinea","IND","IND"
"NSFTV_390",390,"Mind_413to409","301373","CI 11026","United States","ADMIX","ADMIX"
"NSFTV_43",43,"Pipeline_409to379","301040","Dee Geo Woo Gen","Taiwan","IND","IND"
"NSFTV_55",55,"Pipeline_409to379","301051","Gerdeh","Iran","ADMIX","ADMIX"
"NSFTV_121",121,"Pipeline_409to379","301113","Ostiglia","Argentina","TEJ","TEJ"
"NSFTV_126",126,"Pipeline_409to379","301117","Pappaku","Taiwan","IND","IND"
"NSFTV_222",222,"Pipeline_409to379","301213","Paraiba Chines Nova","Brazil","IND","IND"
"NSFTV_225",225,"Pipeline_409to379","301216","Biser 1","Bulgaria","TEJ","TEJ"
"NSFTV_226",226,"Pipeline_409to379","301217","IRAT 44","Burkina Faso","TRJ","TRJ"
"NSFTV_257",257,"Pipeline_409to379","301247","Agusita","Hungary","TEJ","TEJ"
"NSFTV_261",261,"Pipeline_409to379","301251","Shim Balte","Iraq","AUS","AUS"
"NSFTV_286",286,"Pipeline_409to379","301276","IITA 135","Nigeria","TRJ","TRJ"
"NSFTV_293",293,"Pipeline_409to379","301283","TOg 7178","Senegal","ADMIX","ADMIX"
"NSFTV_331",331,"Pipeline_409to379","301321","Khao Tot Long 227","Thailand","AUS","AUS"
"NSFTV_335",335,"Pipeline_409to379","301325","Okshitmayin","Myanmar","ADMIX","ADMIX"
"NSFTV_336",336,"Pipeline_409to379","301326","Paung Malaung","Myanmar","AUS","AUS"
"NSFTV_337",337,"Pipeline_409to379","301327","Sabharaj","Bangladesh","IND","IND"
"NSFTV_341",341,"Pipeline_409to379","301331","Shirkati","Afghanistan","AUS","AUS"
"NSFTV_346",346,"Pipeline_409to379","301336","Karkati 87","Bangladesh","AUS","AUS"
"NSFTV_347",347,"Pipeline_409to379","301337","Creole","Belize","TRJ","TRJ"
"NSFTV_349",349,"Pipeline_409to379","301339","Chang Ch'Sang Hsu Tao","China","IND","IND"
"NSFTV_356",356,"Pipeline_409to379","301344","JC 117","India","IND","IND"
"NSFTV_357",357,"Pipeline_409to379","301345","9524","India","AUS","AUS"
"NSFTV_360",360,"Pipeline_409to379","301348","PTB 30","India","AUS","AUS"
"NSFTV_364",364,"Pipeline_409to379","301351","Rikuto Norin 21","Japan","ADMIX","ADMIX"
"NSFTV_378",378,"Pipeline_409to379","301363","Kalubala Vee","Sri Lanka","AUS","AUS"
"NSFTV_379",379,"Pipeline_409to379","301364","Wanica","Suriname","TRJ","TRJ"
"NSFTV_652",652,"Pipeline_409to379","312018","Li-Jiang-Xin-Tuan-Hei-Gu","China","ADMIX","ADMIX"
"NSFTV_648",648,"Pipeline_409to379","312014","Shan-Huang-Zhan-2","China","IND","IND"
"NSFTV_633",633,"Pipeline_409to379","301414","Jing 185-7","China","IND","IND"
"NSFTV_618",618,"Pipeline_409to379","301404","Pecos","United States","ADMIX","ADMIX"
"NSFTV_260",260,"Pipeline_409to379","301250","NSF-TV 260","Iran","AROMATIC","AROMATIC"
