"Dimension","Threshold","SNP_retention","Sample_retention","Diversity","FST","Cluster_ARI","LD","Recommendation"
"Sample filtering","mind = none","1,166 SNPs","413 (100%)","Baseline","0.414","0.995","Not applicable (no SNP filter)","Not recommended – retains noisy samples"
"Sample filtering","mind = 0.10 (after QC)","1,161 SNPs","409 (99%)","Near-identical","0.416","0.995","Not applicable","Acceptable – minimal sample loss"
"Sample filtering","mind = 0.10 (baseline)","1,187 SNPs","379 (92%)","Reference","0.423","1.000","Reference","Recommended – balances retention and quality"
"Sample filtering","mind = 0.05","1,064 SNPs","293 (71%)","Similar","0.383 (-9.4%)","0.580","Not applicable","Too stringent – loses 29% of samples, alters FST"
"Sample filtering","mind = 0.02","597 SNPs","98 (24%)","Reduced (fewer SNPs)","0.293 (-30.7%)","0.561","Not applicable","Severely biased – do not use"
"MAF filtering","MAF = none","1,638 SNPs (+38%)","383 (100%)","Includes rare variants","0.348 (-17.8%)","0.995","Not applicable","Rare variants inflate noise – not recommended"
"MAF filtering","MAF = 0.01","1,601 SNPs (+35%)","383 (100%)","Slightly inflated","0.353 (-16.7%)","0.992","Not applicable","Marginal – rare variants dilute structure"
"MAF filtering","MAF = 0.03","1,386 SNPs (+17%)","383 (100%)","Near-baseline","0.394 (-6.9%)","0.997","Not applicable","Acceptable – modest SNP gain, FST stable"
"MAF filtering","MAF = 0.05 (baseline)","1,187 SNPs","379 (100%)","Reference","0.423","1.000","Reference","Recommended – standard for population structure"
"MAF filtering","MAF = 0.10","844 SNPs (-29%)","383 (100%)","Reduced PIC, Ho inflated","0.449 (+6.1%)","0.863","Not applicable","Too stringent for structure – loses informative SNPs"
"GENO filtering","GENO = none","1,437 SNPs (+21%)","383 (100%)","Slightly inflated","0.415 (-1.9%)","0.995","Not applicable","Acceptable – small effect on structure"
"GENO filtering","GENO = 0.20","1,404 SNPs (+18%)","383 (100%)","Similar","Not computed","Not computed","Not applicable","Acceptable – retains more SNPs"
"GENO filtering","GENO = 0.10","1,299 SNPs (+9%)","383 (100%)","Similar","0.397 (-6.2%)","0.858","Not applicable","Acceptable – modest SNP gain"
"GENO filtering","GENO = 0.05 (baseline)","1,187 SNPs","379 (100%)","Reference","0.423","1.000","Reference","Recommended standard"
"GENO filtering","GENO = 0.02","982 SNPs (-17%)","383 (100%)","Reduced","0.419 (-1.0%)","0.992","Not applicable","Stringent but FST stable"
"LD pruning","none (all SNPs)","26,474 SNPs","383 (100%)","Near-identical","0.609 (+44.0%)","0.989","r² = 0.43 at 0–10kb (48% > 0.2)","Not recommended – inflates FST, violates independence"
"LD pruning","r² < 0.8","9,609 SNPs","383 (100%)","Near-identical","0.497 (+17.5%)","0.989","r² = 0.21 at 0–10kb (23% > 0.2)","Insufficient pruning – FST still inflated"
"LD pruning","r² < 0.5","4,278 SNPs","383 (100%)","Near-identical","0.434 (+2.6%)","0.995","r² = 0.14 at 0–10kb (13% > 0.2)","Acceptable – FST near-baseline"
"LD pruning","50/5/0.2 (baseline)","1,187 SNPs","379 (100%)","Reference","0.423 (reference)","1.000","r² = 0.07 at 0–10kb (5.8% > 0.2)","Recommended – standard for population structure"
"LD pruning","100/10/0.2","822 SNPs (-31%)","383 (100%)","Similar","0.353 (-16.6%)","0.799","r² = 0.07 at 0–10kb (1.4% > 0.2)","Overly aggressive – loses SNPs, reduces FST"
