"Label","K","CV_error","LogLikelihood"
"S2: mind 0.05 (293)",5,0.67879,-197411.884828
"S4: mind 0.02 (98)",5,0.77669,-36174.499116
"M0: MAF none (1638)",5,0.51128,-300123.458473
"M1: MAF 0.01 (1601)",5,0.51767,-297340.11543
"M2: MAF 0.03 (1386)",5,0.57062,-285206.594458
"M4: MAF 0.10 (844)",5,0.71295,-217296.399627
"G1: GENO 0.20 (1404)",5,0.62177,-305300.565344
"G2: GENO 0.10 (1299)",5,0.62918,-292213.711587
"G4: GENO 0.02 (982)",5,0.6172,-218870.902896
"L0: No pruning (26474)",5,0.44294,-4220133.925366
"L1: r2<0.8 (9609)",5,0.5235,-1816844.684335
"L2: r2<0.5 (4278)",5,0.56256,-870175.063458
"L3: 100/10/0.2 (822)",5,0.6638,-197022.404962
"S0: No mind (413)",5,0.61484,-279084.479531
"S1: mind 0.10 after QC (409)",5,0.60875,-272825.313073
"S3: mind 0.10 before QC (379)",5,0.61773,-261385.152262
