"Scenario","Label","N","M","PC1_var","PC2_var","PC1_corr","PC2_corr","PC1_corr_abs"
"rice_pruned","S0: No mind (413)",413,1166,24.9,11.3,0.9996,0.999,0.9907
"rice_pruned2","S1: mind 0.10 after QC (409)",409,1161,25,11.4,0.9995,0.9992,0.9919
"sens_D1_S2","S2: mind 0.05 (293)",293,1064,21.6,16.3,0.9877,0.979,0.9097
"sens_D1_S3","S4: mind 0.02 (98)",98,597,24.1,6.8,0.8965,0.0505,-0.113
"sens_D2_M0","M0: MAF none (1638)",383,1638,23.7,11.5,0.9998,0.999,0.998
"sens_D2_M1","M1: MAF 0.01 (1601)",383,1601,23.7,11.5,0.9998,0.9991,0.9979
"sens_D2_M2","M2: MAF 0.03 (1386)",383,1386,24.3,11.7,0.9999,0.9992,0.9986
"sens_D2_M4","M4: MAF 0.10 (844)",383,844,25.3,13.1,0.9996,0.9989,0.9968
"sens_D3_G020","G1: GENO 0.20 (1404)",383,1404,24.7,12,0.9995,0.9972,0.9957
"sens_D3_G010","G2: GENO 0.10 (1299)",383,1299,24.4,12.2,0.9996,0.9981,0.9967
"sens_D3_G002","G4: GENO 0.02 (982)",383,982,24.1,12.3,0.9995,0.9985,0.9957
"sens_D4_LD08","L1: r2<0.8 (9609)",383,9609,28.6,9.5,0.9976,0.8764,0.9816
"sens_D4_LD05","L2: r2<0.5 (4278)",383,4278,22.6,11.2,0.9991,0.9982,0.9929
"sens_D4_LD100","L3: 100/10/0.2 (822)",383,822,19.7,12.4,0.9955,0.9949,0.9695
