"FID","IID","Sample_S0","Sample_S1","Sample_S3","Sample_S2","Sample_S4","MAF_M0","MAF_M1","MAF_M2","MAF_M4","Geno_G0","Geno_G2","Geno_G4","LD_L0","LD_L1","LD_L2","LD_L4","Agreement","N_scenarios"
"081215-A05",1,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,1,15
"081215-A06",3,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"081215-A07",4,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"081215-A08",5,1,1,1,3,NA,1,1,1,1,1,1,1,1,1,1,2,0.857142857142857,15
"090414-A09",6,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090414-A10",7,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
"090105-A02",8,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
"090105-A03",9,4,4,4,NA,NA,4,4,4,1,4,1,4,4,4,4,4,0.846153846153846,14
"090325-A05",10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,16
"090414-A11",11,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090226-A10",13,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"081215-A10",14,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090414-A12",15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,16
"081215-A12",16,1,1,1,3,NA,1,1,1,5,1,5,1,1,1,1,2,0.714285714285714,15
"090414-B01",17,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"081216-D01",18,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090414-B02",20,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,1,0.866666666666667,16
"081216-D03",22,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"081216-D04",23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"090414-B04",24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"081216-D05",25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"081216-D06",26,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"081216-D07",27,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"090414-B05",29,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"081216-D08",31,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,16
"090325-A06",32,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,16
"090325-A07",33,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"090414-B06",34,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090414-B07",35,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090414-B08",39,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"090325-A08",40,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090414-B10",41,4,4,4,1,NA,4,4,4,1,4,1,4,4,4,4,4,0.785714285714286,15
"090414-C02",44,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"090325-A09",45,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,2,0.928571428571429,15
"090325-A10",46,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
"090414-B11",49,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090325-A11",50,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"090105-A06",51,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,1,15
"090325-A12",53,1,1,1,3,NA,1,1,1,5,1,5,1,1,1,1,2,0.714285714285714,15
"090325-B02",56,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,16
"090226-A11",57,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"090226-A12",58,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"090414-B12",59,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090226-B01",60,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,1,15
"090226-B02",61,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"090414-C01",63,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,1,15
"090226-B03",65,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"090325-B03",66,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090226-B04",67,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,1,15
"090325-B04",68,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090226-B05",69,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"090226-B06",70,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"090226-B07",71,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"090325-B08",73,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
"090209-A05",74,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090209-A06",75,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090209-A07",76,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090209-A08",77,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090209-A09",78,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090209-A10",79,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,0.933333333333333,16
"090209-A11",80,3,3,3,3,NA,3,3,3,2,3,2,3,2,2,3,3,0.714285714285714,15
"090209-A12",81,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090209-B01",83,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,16
"090325-B05",84,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090325-B06",85,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"090209-B02",86,4,4,4,NA,NA,4,4,4,4,4,4,4,4,4,4,4,1,14
"090414-C03",87,2,2,2,1,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090325-B07",88,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090414-C04",89,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,1,0.857142857142857,15
"090209-B03",92,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
