"","S2: mind=0.05","S3: mind=0.10","M0: MAF=none","M1: MAF=0.01","M2: MAF=0.03","M4: MAF=0.10","G2: GENO=0.02","G1: GENO=0.10","G0: GENO=0.20","Gnone: GENO=none","L_0.5: LD<0.5","L_0.8: LD<0.8","L100: 100/10/0.2","Lnone: no LD","rice_pruned","rice_pruned2","rice_pruned3"
"S2: mind=0.05",1,0.594367727540907,0.537132102634068,0.528452978800466,0.531252429343203,0.633460773762181,0.537132102634068,0.629149639175263,0.528452978800466,0.523251897510277,0.531252429343203,0.514812948810617,0.641582415316527,0.514812948810617,0.523251897510277,0.531252429343203,0.53986651382466
"S3: mind=0.10",0.594367727540907,1,0.419860020462396,0.419860020462396,0.419860020462396,0.550321631276804,0.419860020462396,0.568814545050361,0.419860020462396,0.419860020462396,0.419860020462396,0.419860020462396,0.422674151259338,0.419860020462396,0.419860020462396,0.419860020462396,0.419860020462396
"M0: MAF=none",0.537132102634068,0.419860020462396,1,0.992563736673872,0.97709376633749,0.823098528484652,0.991611999188763,0.828967538881799,0.987635236511659,0.985412172502196,0.968782049154699,0.969682771494173,0.804918589338781,0.969682771494173,0.985412172502196,0.968782049154699,0.984261110974642
"M1: MAF=0.01",0.528452978800466,0.419860020462396,0.992563736673872,1,0.984471332466026,0.830826754698139,0.984182018463261,0.83676150038942,0.995079032990282,0.992856395435021,0.976163686808693,0.977057627367233,0.797319425055429,0.977057627367233,0.992856395435021,0.976163686808693,0.976760381290449
"M2: MAF=0.03",0.531252429343203,0.419860020462396,0.97709376633749,0.984471332466026,1,0.843480985219868,0.968854988292188,0.835351332142821,0.979537957767081,0.991611999188763,0.991611999188763,0.97580451955785,0.798395410776152,0.97580451955785,0.991611999188763,0.991611999188763,0.99248570856509
"M4: MAF=0.10",0.633460773762181,0.550321631276804,0.823098528484652,0.830826754698139,0.843480985219868,1,0.831797413789349,0.987830832282291,0.825650058828371,0.838108812819857,0.852252429924369,0.854676390185204,0.654751760467596,0.854676390185204,0.838108812819857,0.852252429924369,0.83501496031433
"G2: GENO=0.02",0.537132102634068,0.419860020462396,0.991611999188763,0.984182018463261,0.968854988292188,0.831797413789349,1,0.837734904126478,0.979249193941541,0.97710045288183,0.97710045288183,0.978066926381298,0.809096392194052,0.978066926381298,0.97710045288183,0.97710045288183,0.975964459067528
"G1: GENO=0.10",0.629149639175263,0.568814545050361,0.828967538881799,0.83676150038942,0.835351332142821,0.987830832282291,0.837734904126478,1,0.831593040819853,0.844041625249167,0.844041625249167,0.860742678999752,0.646313248718066,0.860742678999752,0.844041625249167,0.844041625249167,0.826752192024265
"G0: GENO=0.20",0.528452978800466,0.419860020462396,0.987635236511659,0.995079032990282,0.979537957767081,0.825650058828371,0.979249193941541,0.831593040819853,1,0.987928792960721,0.971226035184316,0.972197566377987,0.802352046458917,0.972197566377987,0.987928792960721,0.971226035184316,0.971698841867691
"Gnone: GENO=none",0.523251897510277,0.419860020462396,0.985412172502196,0.992856395435021,0.991611999188763,0.838108812819857,0.97710045288183,0.844041625249167,0.987928792960721,1,0.983299374872418,0.984114916781139,0.789760496226569,0.984114916781139,1,0.983299374872418,0.984038606565839
"L_0.5: LD<0.5",0.531252429343203,0.419860020462396,0.968782049154699,0.976163686808693,0.991611999188763,0.852252429924369,0.97710045288183,0.844041625249167,0.971226035184316,0.983299374872418,1,0.984114916781139,0.802574363792322,0.984114916781139,0.983299374872418,1,0.984038606565839
"L_0.8: LD<0.8",0.514812948810617,0.419860020462396,0.969682771494173,0.977057627367233,0.97580451955785,0.854676390185204,0.978066926381298,0.860742678999752,0.972197566377987,0.984114916781139,0.984114916781139,1,0.786370782895041,1,0.984114916781139,0.984114916781139,0.968176532569534
"L100: 100/10/0.2",0.641582415316527,0.422674151259338,0.804918589338781,0.797319425055429,0.798395410776152,0.654751760467596,0.809096392194052,0.646313248718066,0.802352046458917,0.789760496226569,0.802574363792322,0.786370782895041,1,0.786370782895041,0.789760496226569,0.802574363792322,0.809062244352654
"Lnone: no LD",0.514812948810617,0.419860020462396,0.969682771494173,0.977057627367233,0.97580451955785,0.854676390185204,0.978066926381298,0.860742678999752,0.972197566377987,0.984114916781139,0.984114916781139,1,0.786370782895041,1,0.984114916781139,0.984114916781139,0.968176532569534
"rice_pruned",0.523251897510277,0.419860020462396,0.985412172502196,0.992856395435021,0.991611999188763,0.838108812819857,0.97710045288183,0.844041625249167,0.987928792960721,1,0.983299374872418,0.984114916781139,0.789760496226569,0.984114916781139,1,0.984639898128581,0.984038606565839
"rice_pruned2",0.531252429343203,0.419860020462396,0.968782049154699,0.976163686808693,0.991611999188763,0.852252429924369,0.97710045288183,0.844041625249167,0.971226035184316,0.983299374872418,1,0.984114916781139,0.802574363792322,0.984114916781139,0.984639898128581,1,0.984038606565839
"rice_pruned3",0.53986651382466,0.419860020462396,0.984261110974642,0.976760381290449,0.99248570856509,0.83501496031433,0.975964459067528,0.826752192024265,0.971698841867691,0.984038606565839,0.984038606565839,0.968176532569534,0.809062244352654,0.968176532569534,0.984038606565839,0.984038606565839,1
