"Scenario","NewCluster","Percent","OriginalCluster","N"
"S0:NoMind","C1",20,"C1",15
"S1:Mind10After","C1",13.3333333333333,"C1",15
"S2:Mind05","C1",13.3333333333333,"C1",15
"S4:Mind02","C1",0,"C1",15
"M0:MAFnone","C1",6.66666666666667,"C1",15
"M1:MAF01","C1",6.66666666666667,"C1",15
"M2:MAF03","C1",6.66666666666667,"C1",15
"M4:MAF10","C1",20,"C1",15
"G0:GENOnone","C1",6.66666666666667,"C1",15
"G1:GENO20","C1",6.66666666666667,"C1",15
"G2:GENO10","C1",20,"C1",15
"G4:GENO02","C1",6.66666666666667,"C1",15
"L0:LDnone","C1",6.66666666666667,"C1",15
"L1:LD08","C1",6.66666666666667,"C1",15
"L2:LD05","C1",6.66666666666667,"C1",15
"L4:LD100","C1",13.3333333333333,"C1",15
"S0:NoMind","C2",40,"C1",15
"S1:Mind10After","C2",53.3333333333333,"C1",15
"S2:Mind05","C2",6.66666666666667,"C1",15
"S4:Mind02","C2",0,"C1",15
"M0:MAFnone","C2",33.3333333333333,"C1",15
"M1:MAF01","C2",33.3333333333333,"C1",15
"M2:MAF03","C2",33.3333333333333,"C1",15
"M4:MAF10","C2",33.3333333333333,"C1",15
"G0:GENOnone","C2",33.3333333333333,"C1",15
"G1:GENO20","C2",33.3333333333333,"C1",15
"G2:GENO10","C2",33.3333333333333,"C1",15
"G4:GENO02","C2",33.3333333333333,"C1",15
"L0:LDnone","C2",33.3333333333333,"C1",15
"L1:LD08","C2",33.3333333333333,"C1",15
"L2:LD05","C2",33.3333333333333,"C1",15
"L4:LD100","C2",33.3333333333333,"C1",15
"S0:NoMind","C3",26.6666666666667,"C1",15
"S1:Mind10After","C3",6.66666666666667,"C1",15
"S2:Mind05","C3",20,"C1",15
"S4:Mind02","C3",0,"C1",15
"M0:MAFnone","C3",33.3333333333333,"C1",15
"M1:MAF01","C3",33.3333333333333,"C1",15
"M2:MAF03","C3",33.3333333333333,"C1",15
"M4:MAF10","C3",20,"C1",15
"G0:GENOnone","C3",33.3333333333333,"C1",15
"G1:GENO20","C3",33.3333333333333,"C1",15
"G2:GENO10","C3",20,"C1",15
