"","S0:NoMind","S1:Mind10After","S2:Mind05","S3:Mind10Baseline","S4:Mind02","M0:MAFnone","M1:MAF01","M2:MAF03","M4:MAF10","G0:GENOnone","G1:GENO20","G2:GENO10","G4:GENO02","L0:LDnone","L1:LD08","L2:LD05","L4:LD100"
"S0:NoMind",1,0.9846,0.5233,0.984,0.4199,0.9854,0.9929,0.9916,0.8381,1,0.9879,0.844,0.9771,0.9841,0.9841,0.9833,0.7898
"S1:Mind10After",0.9846,1,0.5313,0.984,0.4199,0.9688,0.9762,0.9916,0.8523,0.9833,0.9712,0.844,0.9771,0.9841,0.9841,1,0.8026
"S2:Mind05",0.5233,0.5313,1,0.5399,0.5944,0.5371,0.5285,0.5313,0.6335,0.5233,0.5285,0.6291,0.5371,0.5148,0.5148,0.5313,0.6416
"S3:Mind10Baseline",0.984,0.984,0.5399,1,0.4199,0.9843,0.9768,0.9925,0.835,0.984,0.9717,0.8268,0.976,0.9682,0.9682,0.984,0.8091
"S4:Mind02",0.4199,0.4199,0.5944,0.4199,1,0.4199,0.4199,0.4199,0.5503,0.4199,0.4199,0.5688,0.4199,0.4199,0.4199,0.4199,0.4227
"M0:MAFnone",0.9854,0.9688,0.5371,0.9843,0.4199,1,0.9926,0.9771,0.8231,0.9854,0.9876,0.829,0.9916,0.9697,0.9697,0.9688,0.8049
"M1:MAF01",0.9929,0.9762,0.5285,0.9768,0.4199,0.9926,1,0.9845,0.8308,0.9929,0.9951,0.8368,0.9842,0.9771,0.9771,0.9762,0.7973
"M2:MAF03",0.9916,0.9916,0.5313,0.9925,0.4199,0.9771,0.9845,1,0.8435,0.9916,0.9795,0.8354,0.9689,0.9758,0.9758,0.9916,0.7984
"M4:MAF10",0.8381,0.8523,0.6335,0.835,0.5503,0.8231,0.8308,0.8435,1,0.8381,0.8257,0.9878,0.8318,0.8547,0.8547,0.8523,0.6548
"G0:GENOnone",1,0.9833,0.5233,0.984,0.4199,0.9854,0.9929,0.9916,0.8381,1,0.9879,0.844,0.9771,0.9841,0.9841,0.9833,0.7898
"G1:GENO20",0.9879,0.9712,0.5285,0.9717,0.4199,0.9876,0.9951,0.9795,0.8257,0.9879,1,0.8316,0.9792,0.9722,0.9722,0.9712,0.8024
"G2:GENO10",0.844,0.844,0.6291,0.8268,0.5688,0.829,0.8368,0.8354,0.9878,0.844,0.8316,1,0.8377,0.8607,0.8607,0.844,0.6463
"G4:GENO02",0.9771,0.9771,0.5371,0.976,0.4199,0.9916,0.9842,0.9689,0.8318,0.9771,0.9792,0.8377,1,0.9781,0.9781,0.9771,0.8091
"L0:LDnone",0.9841,0.9841,0.5148,0.9682,0.4199,0.9697,0.9771,0.9758,0.8547,0.9841,0.9722,0.8607,0.9781,1,1,0.9841,0.7864
"L1:LD08",0.9841,0.9841,0.5148,0.9682,0.4199,0.9697,0.9771,0.9758,0.8547,0.9841,0.9722,0.8607,0.9781,1,1,0.9841,0.7864
"L2:LD05",0.9833,1,0.5313,0.984,0.4199,0.9688,0.9762,0.9916,0.8523,0.9833,0.9712,0.844,0.9771,0.9841,0.9841,1,0.8026
"L4:LD100",0.7898,0.8026,0.6416,0.8091,0.4227,0.8049,0.7973,0.7984,0.6548,0.7898,0.8024,0.6463,0.8091,0.7864,0.7864,0.8026,1
