"","S0:NoMind","S1:Mind10After","S2:Mind05","S3:Mind10Baseline","S4:Mind02","M0:MAFnone","M1:MAF01","M2:MAF03","M4:MAF10","G0:GENOnone","G1:GENO20","G2:GENO10","G4:GENO02","L0:LDnone","L1:LD08","L2:LD05","L4:LD100"
"S0:NoMind",1,0.9807,0.6827,0.9795,0.5342,0.9799,0.99,0.9897,0.8603,1,0.9807,0.8692,0.9696,0.9796,0.9796,0.9794,0.8289
"S1:Mind10After",0.9807,1,0.6946,0.9795,0.5342,0.9593,0.9693,0.9897,0.8793,0.9794,0.96,0.8692,0.9696,0.9796,0.9796,1,0.8451
"S2:Mind05",0.6827,0.6946,1,0.707,0.6619,0.7058,0.6934,0.6946,0.7639,0.6827,0.6934,0.7586,0.7058,0.6735,0.6735,0.6946,0.757
"S3:Mind10Baseline",0.9795,0.9795,0.707,1,0.5342,0.9795,0.9694,0.9898,0.8619,0.9795,0.96,0.8542,0.9717,0.9639,0.9639,0.9795,0.8466
"S4:Mind02",0.5342,0.5342,0.6619,0.5342,1,0.5342,0.5342,0.5342,0.6243,0.5342,0.5342,0.6427,0.5342,0.5342,0.5342,0.5342,0.5851
"M0:MAFnone",0.9799,0.9593,0.7058,0.9795,0.5342,1,0.9899,0.9696,0.8433,0.9799,0.9806,0.8523,0.9897,0.962,0.962,0.9593,0.8482
"M1:MAF01",0.99,0.9693,0.6934,0.9694,0.5342,0.9899,1,0.9796,0.8506,0.99,0.9907,0.8596,0.9796,0.9695,0.9695,0.9693,0.8385
"M2:MAF03",0.9897,0.9897,0.6946,0.9898,0.5342,0.9696,0.9796,1,0.8694,0.9897,0.9703,0.8617,0.9618,0.9717,0.9717,0.9897,0.8364
"M4:MAF10",0.8603,0.8793,0.7639,0.8619,0.6243,0.8433,0.8506,0.8694,1,0.8603,0.8417,0.9823,0.8533,0.8799,0.8799,0.8793,0.7671
"G0:GENOnone",1,0.9794,0.6827,0.9795,0.5342,0.9799,0.99,0.9897,0.8603,1,0.9807,0.8692,0.9696,0.9796,0.9796,0.9794,0.8289
"G1:GENO20",0.9807,0.96,0.6934,0.96,0.5342,0.9806,0.9907,0.9703,0.8417,0.9807,1,0.8506,0.9703,0.9603,0.9603,0.96,0.8475
"G2:GENO10",0.8692,0.8692,0.7586,0.8542,0.6427,0.8523,0.8596,0.8617,0.9823,0.8692,0.8506,1,0.8622,0.8889,0.8889,0.8692,0.7597
"G4:GENO02",0.9696,0.9696,0.7058,0.9717,0.5342,0.9897,0.9796,0.9618,0.8533,0.9696,0.9703,0.8622,1,0.9723,0.9723,0.9696,0.8569
"L0:LDnone",0.9796,0.9796,0.6735,0.9639,0.5342,0.962,0.9695,0.9717,0.8799,0.9796,0.9603,0.8889,0.9723,1,1,0.9796,0.8302
"L1:LD08",0.9796,0.9796,0.6735,0.9639,0.5342,0.962,0.9695,0.9717,0.8799,0.9796,0.9603,0.8889,0.9723,1,1,0.9796,0.8302
"L2:LD05",0.9794,1,0.6946,0.9795,0.5342,0.9593,0.9693,0.9897,0.8793,0.9794,0.96,0.8692,0.9696,0.9796,0.9796,1,0.8451
"L4:LD100",0.8289,0.8451,0.757,0.8466,0.5851,0.8482,0.8385,0.8364,0.7671,0.8289,0.8475,0.7597,0.8569,0.8302,0.8302,0.8451,1
