"Scenario1","Scenario2","PC1_Corr","PC2_Corr"
"G0:GENOnone","G0:GENOnone",1,1
"G0:GENOnone","G1:GENO20",0.9997,0.9996
"G0:GENOnone","G2:GENO10",0.9994,0.999
"G0:GENOnone","G4:GENO02",0.9992,-0.9947
"G0:GENOnone","L0:LDnone",0.9936,0.0623
"G0:GENOnone","L1:LD08",0.996,0.0548
"G0:GENOnone","L2:LD05",0.9983,0.3093
"G0:GENOnone","L4:LD100",0.9952,0.9926
"G0:GENOnone","M0:MAFnone",0.9988,0.9976
"G0:GENOnone","M1:MAF01",0.9988,0.9973
"G0:GENOnone","M2:MAF03",0.9994,0.998
"G0:GENOnone","M4:MAF10",0.999,-0.9958
"G0:GENOnone","S0:NoMind",0.9992,0.9943
"G0:GENOnone","S1:Mind10After",0.9992,0.9966
"G0:GENOnone","S2:Mind05",0.9955,0.9895
"G0:GENOnone","S3:Mind10Baseline",0.9995,0.9963
"G0:GENOnone","S4:Mind02",-0.9365,-0.1785
"G1:GENO20","G0:GENOnone",0.9997,0.9996
"G1:GENO20","G1:GENO20",1,1
"G1:GENO20","G2:GENO10",0.9996,0.999
"G1:GENO20","G4:GENO02",0.9993,-0.9954
"G1:GENO20","L0:LDnone",0.9936,0.0645
"G1:GENO20","L1:LD08",0.996,0.057
"G1:GENO20","L2:LD05",0.9987,0.3124
"G1:GENO20","L4:LD100",0.9943,0.9917
"G1:GENO20","M0:MAFnone",0.9991,0.9976
"G1:GENO20","M1:MAF01",0.9991,0.9973
"G1:GENO20","M2:MAF03",0.9995,0.9981
"G1:GENO20","M4:MAF10",0.9989,-0.9966
"G1:GENO20","S0:NoMind",0.9994,0.9951
"G1:GENO20","S1:Mind10After",0.9992,0.997
"G1:GENO20","S2:Mind05",0.9943,0.9885
"G1:GENO20","S3:Mind10Baseline",0.9995,0.9966
"G1:GENO20","S4:Mind02",-0.9256,-0.1825
"G2:GENO10","G0:GENOnone",0.9994,0.999
"G2:GENO10","G1:GENO20",0.9996,0.999
"G2:GENO10","G2:GENO10",1,1
"G2:GENO10","G4:GENO02",0.999,-0.9969
"G2:GENO10","L0:LDnone",0.9929,0.0865
"G2:GENO10","L1:LD08",0.9952,0.0787
"G2:GENO10","L2:LD05",0.999,0.3327
"G2:GENO10","L4:LD100",0.9945,0.9938
"G2:GENO10","M0:MAFnone",0.9989,0.9988
"G2:GENO10","M1:MAF01",0.999,0.9987
"G2:GENO10","M2:MAF03",0.9994,0.9992
"G2:GENO10","M4:MAF10",0.999,-0.9968
"G2:GENO10","S0:NoMind",0.9991,0.9966
"G2:GENO10","S1:Mind10After",0.999,0.9983
"G2:GENO10","S2:Mind05",0.995,0.9885
"G2:GENO10","S3:Mind10Baseline",0.9994,0.998
"G2:GENO10","S4:Mind02",-0.9333,-0.1649
"G4:GENO02","G0:GENOnone",0.9992,-0.9947
"G4:GENO02","G1:GENO20",0.9993,-0.9954
"G4:GENO02","G2:GENO10",0.999,-0.9969
"G4:GENO02","G4:GENO02",1,1
"G4:GENO02","L0:LDnone",0.9944,-0.1385
"G4:GENO02","L1:LD08",0.9967,-0.1307
"G4:GENO02","L2:LD05",0.9982,-0.3817
"G4:GENO02","L4:LD100",0.994,-0.9934
"G4:GENO02","M0:MAFnone",0.9989,-0.9974
"G4:GENO02","M1:MAF01",0.9989,-0.9977
"G4:GENO02","M2:MAF03",0.9994,-0.9979
"G4:GENO02","M4:MAF10",0.9987,0.9963
"G4:GENO02","S0:NoMind",0.9993,-0.9986
"G4:GENO02","S1:Mind10After",0.9991,-0.9985
"G4:GENO02","S2:Mind05",0.9932,-0.9869
"G4:GENO02","S3:Mind10Baseline",0.9995,-0.9981
"G4:GENO02","S4:Mind02",-0.9004,0.1795
"L0:LDnone","G0:GENOnone",0.9936,0.0623
"L0:LDnone","G1:GENO20",0.9936,0.0645
"L0:LDnone","G2:GENO10",0.9929,0.0865
"L0:LDnone","G4:GENO02",0.9944,-0.1385
"L0:LDnone","L0:LDnone",1,1
"L0:LDnone","L1:LD08",0.9993,0.9994
"L0:LDnone","L2:LD05",0.9948,0.9642
"L0:LDnone","L4:LD100",0.9854,0.1252
"L0:LDnone","M0:MAFnone",0.9933,0.1034
"L0:LDnone","M1:MAF01",0.9936,0.1097
"L0:LDnone","M2:MAF03",0.9938,0.1024
"L0:LDnone","M4:MAF10",0.9926,-0.0963
"L0:LDnone","S0:NoMind",0.9934,0.1464
"L0:LDnone","S1:Mind10After",0.9926,0.1173
"L0:LDnone","S2:Mind05",0.9831,0.0642
"L0:LDnone","S3:Mind10Baseline",0.9942,0.1252
"L0:LDnone","S4:Mind02",-0.9481,0.0029
"L1:LD08","G0:GENOnone",0.996,0.0548
"L1:LD08","G1:GENO20",0.996,0.057
"L1:LD08","G2:GENO10",0.9952,0.0787
"L1:LD08","G4:GENO02",0.9967,-0.1307
"L1:LD08","L0:LDnone",0.9993,0.9994
"L1:LD08","L1:LD08",1,1
"L1:LD08","L2:LD05",0.9965,0.9626
"L1:LD08","L4:LD100",0.9891,0.118
"L1:LD08","M0:MAFnone",0.9956,0.0956
"L1:LD08","M1:MAF01",0.9959,0.1018
"L1:LD08","M2:MAF03",0.9962,0.0947
"L1:LD08","M4:MAF10",0.995,-0.0889
"L1:LD08","S0:NoMind",0.9961,0.1388
"L1:LD08","S1:Mind10After",0.9955,0.1095
"L1:LD08","S2:Mind05",0.9876,0.0544
"L1:LD08","S3:Mind10Baseline",0.9965,0.1179
"L1:LD08","S4:Mind02",-0.9485,-0.0336
"L2:LD05","G0:GENOnone",0.9983,0.3093
"L2:LD05","G1:GENO20",0.9987,0.3124
"L2:LD05","G2:GENO10",0.999,0.3327
"L2:LD05","G4:GENO02",0.9982,-0.3817
"L2:LD05","L0:LDnone",0.9948,0.9642
"L2:LD05","L1:LD08",0.9965,0.9626
"L2:LD05","L2:LD05",1,1
"L2:LD05","L4:LD100",0.9918,0.3624
"L2:LD05","M0:MAFnone",0.9983,0.349
"L2:LD05","M1:MAF01",0.9984,0.3547
"L2:LD05","M2:MAF03",0.9986,0.348
"L2:LD05","M4:MAF10",0.998,-0.3414
"L2:LD05","S0:NoMind",0.9984,0.3904
"L2:LD05","S1:Mind10After",0.9981,0.3625
"L2:LD05","S2:Mind05",0.9928,0.3634
"L2:LD05","S3:Mind10Baseline",0.9985,0.3694
"L2:LD05","S4:Mind02",-0.9414,-0.1376
