"Scenario","N_SNPs","N_Samples","PIC","He","Ho","Shannon"
"S2: mind=0.05",1064,293,0.3704,0.3704,0,0.5455
"S3: mind=0.10",597,98,0.3251,0.3251,0,0.4931
"M0: MAF=none",1638,383,0.276,0.276,0,0.4219
"M1: MAF=0.01",1601,383,0.2802,0.2802,0,0.4277
"M2: MAF=0.03",1386,383,0.3172,0.3172,0,0.4785
"M4: MAF=0.10",844,383,0.4179,0.4179,0,0.603
"G2: GENO=0.02",982,383,0.3461,0.3461,0,0.516
"G1: GENO=0.10",1299,383,0.3533,0.3533,0,0.5249
"G0: GENO=0.20",1404,383,0.3546,0.3546,0,0.5261
"Gnone: GENO=none",1437,383,0.353,0.353,0,0.5241
"L_0.5: LD<0.5",4278,383,0.3149,0.3149,0,0.4834
"L_0.8: LD<0.8",9609,383,0.3229,0.3229,0,0.4944
"L100: 100/10/0.2",822,383,0.3483,0.3483,0,0.5185
"Lnone: no LD",26474,383,0.3538,0.3538,0,0.5307
"rice_pruned",1166,413,0.3483,0.3483,0,0.5187
"rice_pruned2",1161,409,0.3461,0.3461,0,0.5162
"rice_pruned3",1187,379,0.3505,0.3505,0,0.5217
