"","S_none","S_mind10","S_mind5","M_none","M_maf1","M_maf3","M_maf5","M_maf10","G_none","G_geno20","G_geno10","G_geno5","G_geno2","L_none","L_ld08","L_ld05","L_ld02","L_ld100"
"S_none",1,0.645601686344389,0.391129990258441,0.638523824227406,0.636240615920119,0.651783521322754,0.645601686344389,0.64084784300334,0.761167131180352,0.761167131180352,0.761452464550112,0.645601686344389,0.645747325139777,0.773024680702009,0.631703466236264,0.626972792417955,0.645601686344389,0.635274805154793
"S_mind10",0.645601686344389,1,0.307060960248332,0.865880738300703,0.861468304944162,0.883548047856363,1,0.989252961128414,0.82841531501764,0.82841531501764,0.816539706888912,1,0.983172624151071,0.807933896805643,0.904137506262988,0.927852924811653,1,0.98226372828379
"S_mind5",0.391129990258441,0.307060960248332,1,0.29852719487202,0.29852719487202,0.298037321783437,0.307060960248332,0.305241830727654,0.37707346927259,0.37707346927259,0.37002836471779,0.307060960248332,0.29953586014497,0.36705077253116,0.292458828880896,0.292444931974278,0.307060960248332,0.293224997269901
"M_none",0.638523824227406,0.865880738300703,0.29852719487202,1,0.974045896859153,0.947655456197474,0.865880738300703,0.857801256831997,0.846247486212504,0.846247486212504,0.82309585835322,0.865880738300703,0.863392277148965,0.804561253772957,0.804449974392524,0.814618976047782,0.865880738300703,0.870131841641624
"M_maf1",0.636240615920119,0.861468304944162,0.29852719487202,0.974045896859153,1,0.957728824669881,0.861468304944162,0.853399190019761,0.83945328414507,0.83945328414507,0.816544241501255,0.861468304944162,0.858981735277588,0.797870650278674,0.810362171253572,0.820199723586571,0.861468304944162,0.865551756533287
"M_maf3",0.651783521322754,0.883548047856363,0.298037321783437,0.947655456197474,0.957728824669881,1,0.883548047856363,0.874741239471274,0.841997560784865,0.841997560784865,0.819374125268811,0.883548047856363,0.880655773625207,0.800790737266323,0.815089706099461,0.825161737923943,0.883548047856363,0.888016332078267
"M_maf5",0.645601686344389,1,0.307060960248332,0.865880738300703,0.861468304944162,0.883548047856363,1,0.989252961128414,0.82841531501764,0.82841531501764,0.816539706888912,1,0.983172624151071,0.807933896805643,0.904137506262988,0.927852924811653,1,0.98226372828379
"M_maf10",0.64084784300334,0.989252961128414,0.305241830727654,0.857801256831997,0.853399190019761,0.874741239471274,0.989252961128414,1,0.82315047522752,0.82315047522752,0.811273040286867,0.989252961128414,0.972600942976372,0.802606412977711,0.893876711418358,0.917389445021787,0.989252961128414,0.971619528456585
"G_none",0.761167131180352,0.82841531501764,0.37707346927259,0.846247486212504,0.83945328414507,0.841997560784865,0.82841531501764,0.82315047522752,1,1,0.971899536585933,0.82841531501764,0.839334976504508,0.954638645774008,0.779119106064262,0.786426204240514,0.82841531501764,0.827483013789003
"G_geno20",0.761167131180352,0.82841531501764,0.37707346927259,0.846247486212504,0.83945328414507,0.841997560784865,0.82841531501764,0.82315047522752,1,1,0.971899536585933,0.82841531501764,0.839334976504508,0.954638645774008,0.779119106064262,0.786426204240514,0.82841531501764,0.827483013789003
"G_geno10",0.761452464550112,0.816539706888912,0.37002836471779,0.82309585835322,0.816544241501255,0.819374125268811,0.816539706888912,0.811273040286867,0.971899536585933,0.971899536585933,1,0.816539706888912,0.827471699094683,0.97188799701517,0.783938796905574,0.783539680734684,0.816539706888912,0.815614834252313
"G_geno5",0.645601686344389,1,0.307060960248332,0.865880738300703,0.861468304944162,0.883548047856363,1,0.989252961128414,0.82841531501764,0.82841531501764,0.816539706888912,1,0.983172624151071,0.807933896805643,0.904137506262988,0.927852924811653,1,0.98226372828379
"G_geno2",0.645747325139777,0.983172624151071,0.29953586014497,0.863392277148965,0.858981735277588,0.880655773625207,0.983172624151071,0.972600942976372,0.839334976504508,0.839334976504508,0.827471699094683,0.983172624151071,1,0.808736745707303,0.920753754811927,0.923494213002807,0.983172624151071,0.976909447212029
"L_none",0.773024680702009,0.807933896805643,0.36705077253116,0.804561253772957,0.797870650278674,0.800790737266323,0.807933896805643,0.802606412977711,0.954638645774008,0.954638645774008,0.97188799701517,0.807933896805643,0.808736745707303,1,0.791814991941598,0.796942232422026,0.807933896805643,0.807007768681488
"L_ld08",0.631703466236264,0.904137506262988,0.292458828880896,0.804449974392524,0.810362171253572,0.815089706099461,0.904137506262988,0.893876711418358,0.779119106064262,0.779119106064262,0.783938796905574,0.904137506262988,0.920753754811927,0.791814991941598,1,0.973503531906786,0.904137506262988,0.898123936558767
"L_ld05",0.626972792417955,0.927852924811653,0.292444931974278,0.814618976047782,0.820199723586571,0.825161737923943,0.927852924811653,0.917389445021787,0.786426204240514,0.786426204240514,0.783539680734684,0.927852924811653,0.923494213002807,0.796942232422026,0.973503531906786,1,0.927852924811653,0.921721172925382
"L_ld02",0.645601686344389,1,0.307060960248332,0.865880738300703,0.861468304944162,0.883548047856363,1,0.989252961128414,0.82841531501764,0.82841531501764,0.816539706888912,1,0.983172624151071,0.807933896805643,0.904137506262988,0.927852924811653,1,0.98226372828379
"L_ld100",0.635274805154793,0.98226372828379,0.293224997269901,0.870131841641624,0.865551756533287,0.888016332078267,0.98226372828379,0.971619528456585,0.827483013789003,0.827483013789003,0.815614834252313,0.98226372828379,0.976909447212029,0.807007768681488,0.898123936558767,0.921721172925382,0.98226372828379,1
