"","S_none","S_mind10","S_mind5","M_none","M_maf1","M_maf3","M_maf5","M_maf10","G_none","G_geno20","G_geno10","G_geno5","G_geno2","L_none","L_ld08","L_ld05","L_ld02","L_ld100"
"S_none",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_mind10",NA,1,NA,0.850896752569767,0.845865286573969,0.879556752233879,1,0.982395647435981,0.826412485373639,0.826412485373639,0.816648586057714,1,0.973669426415479,0.835462328026784,0.890174166977835,0.917016086908212,1,0.973285800653648
"S_mind5",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M_none",NA,0.850896752569767,NA,1,0.963129307642372,0.923809411976551,0.850896752569767,0.840881494554251,0.836216610966554,0.836216610966554,0.811075378515328,0.850896752569767,0.849405352402725,0.81255806029839,0.797502370704935,0.798333178913534,0.850896752569767,0.853013504124388
"M_maf1",NA,0.845865286573969,NA,0.963129307642372,1,0.938473777261027,0.845865286573969,0.835847466813598,0.829882166361854,0.829882166361854,0.805660997557269,0.845865286573969,0.844374843582558,0.807123998804645,0.805844106796794,0.806211053240674,0.845865286573969,0.847942087512989
"M_maf3",NA,0.879556752233879,NA,0.923809411976551,0.938473777261027,1,0.879556752233879,0.869242983894743,0.832871764990629,0.832871764990629,0.809248101222858,0.879556752233879,0.877866229324252,0.810715767273354,0.812586910151873,0.813017581388593,0.879556752233879,0.879531943463445
"M_maf5",NA,1,NA,0.850896752569767,0.845865286573969,0.879556752233879,1,0.982395647435981,0.826412485373639,0.826412485373639,0.816648586057714,1,0.973669426415479,0.835462328026784,0.890174166977835,0.917016086908212,1,0.973285800653648
"M_maf10",NA,0.982395647435981,NA,0.840881494554251,0.835847466813598,0.869242983894743,0.982395647435981,1,0.820092698852942,0.820092698852942,0.810323828298246,0.982395647435981,0.956125972998314,0.829147149186605,0.875465216061591,0.901807486407526,0.982395647435981,0.958502982995599
"G_none",NA,0.826412485373639,NA,0.836216610966554,0.829882166361854,0.832871764990629,0.826412485373639,0.820092698852942,1,1,0.951568581664334,0.826412485373639,0.844025472097671,0.912885612330605,0.776251893374353,0.776506380979887,0.826412485373639,0.829596008332227
"G_geno20",NA,0.826412485373639,NA,0.836216610966554,0.829882166361854,0.832871764990629,0.826412485373639,0.820092698852942,1,1,0.951568581664334,0.826412485373639,0.844025472097671,0.912885612330605,0.776251893374353,0.776506380979887,0.826412485373639,0.829596008332227
"G_geno10",NA,0.816648586057714,NA,0.811075378515328,0.805660997557269,0.809248101222858,0.816648586057714,0.810323828298246,0.951568581664334,0.951568581664334,1,0.816648586057714,0.834263430245655,0.933056920199235,0.784520489430588,0.774274329830352,0.816648586057714,0.819825416030336
"G_geno5",NA,1,NA,0.850896752569767,0.845865286573969,0.879556752233879,1,0.982395647435981,0.826412485373639,0.826412485373639,0.816648586057714,1,0.973669426415479,0.835462328026784,0.890174166977835,0.917016086908212,1,0.973285800653648
"G_geno2",NA,0.973669426415479,NA,0.849405352402725,0.844374843582558,0.877866229324252,0.973669426415479,0.956125972998314,0.844025472097671,0.844025472097671,0.834263430245655,0.973669426415479,1,0.835708142505102,0.916277845547918,0.911067990907111,0.973669426415479,0.966815044115655
"L_none",NA,0.835462328026784,NA,0.81255806029839,0.807123998804645,0.810715767273354,0.835462328026784,0.829147149186605,0.912885612330605,0.912885612330605,0.933056920199235,0.835462328026784,0.835708142505102,1,0.811056622736796,0.811812683394001,0.835462328026784,0.83865205449771
"L_ld08",NA,0.890174166977835,NA,0.797502370704935,0.805844106796794,0.812586910151873,0.890174166977835,0.875465216061591,0.776251893374353,0.776251893374353,0.784520489430588,0.890174166977835,0.916277845547918,0.811056622736796,1,0.961051760615962,0.890174166977835,0.886288902441533
"L_ld05",NA,0.917016086908212,NA,0.798333178913534,0.806211053240674,0.813017581388593,0.917016086908212,0.901807486407526,0.776506380979887,0.776506380979887,0.774274329830352,0.917016086908212,0.911067990907111,0.811812683394001,0.961051760615962,1,0.917016086908212,0.910191921558381
"L_ld02",NA,1,NA,0.850896752569767,0.845865286573969,0.879556752233879,1,0.982395647435981,0.826412485373639,0.826412485373639,0.816648586057714,1,0.973669426415479,0.835462328026784,0.890174166977835,0.917016086908212,1,0.973285800653648
"L_ld100",NA,0.973285800653648,NA,0.853013504124388,0.847942087512989,0.879531943463445,0.973285800653648,0.958502982995599,0.829596008332227,0.829596008332227,0.819825416030336,0.973285800653648,0.966815044115655,0.83865205449771,0.886288902441533,0.910191921558381,0.973285800653648,1
