"","S_none","S_mind10","S_mind5","M_none","M_maf1","M_maf3","M_maf5","M_maf10","G_none","G_geno20","G_geno10","G_geno5","G_geno2","L_none","L_ld08","L_ld05","L_ld02","L_ld100"
"S_none",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_mind10",NA,1,NA,0.993278560629095,0.994732567448584,0.999006932142721,1,0.999260899679518,0.979964804551801,0.981668115657126,0.993677658768632,1,0.999686228351719,0.993127959564477,0.997562538238293,0.999238660280115,1,0.999612110409897
"S_mind5",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M_none",NA,0.993278560629095,NA,1,0.99948332975328,0.996187449302974,0.993278560629095,0.991253892067238,0.987568415316177,0.989369946980229,0.996434973997579,0.993278560629095,0.992477545395667,0.986130078049952,0.990462742345232,0.99247668014505,0.993278560629095,0.993650114445374
"M_maf1",NA,0.994732567448584,NA,0.99948332975328,1,0.997639495087415,0.994732567448584,0.992636169951174,0.988599802551957,0.990254906653674,0.997348680364893,0.994732567448584,0.993955045358762,0.985926801629612,0.990923425624051,0.993403275064356,0.994732567448584,0.995090253895037
"M_maf3",NA,0.999006932142721,NA,0.996187449302974,0.997639495087415,1,0.999006932142721,0.997377243312186,0.983603394038426,0.98524074211879,0.995598583542807,0.999006932142721,0.998598159423602,0.990802491108486,0.995450458478063,0.997551641085669,0.999006932142721,0.999140418732562
"M_maf5",NA,1,NA,0.993278560629095,0.994732567448584,0.999006932142721,1,0.999260899679518,0.979964804551801,0.981668115657126,0.993677658768632,1,0.999686228351719,0.993127959564477,0.997562538238293,0.999238660280115,1,0.999612110409897
"M_maf10",NA,0.999260899679518,NA,0.991253892067238,0.992636169951174,0.997377243312186,0.999260899679518,1,0.978064438294359,0.979785430925128,0.992254412360712,0.999260899679518,0.998808634429699,0.992734770891173,0.997410194849934,0.998923277451487,0.999260899679518,0.998196393981238
"G_none",NA,0.979964804551801,NA,0.987568415316177,0.988599802551957,0.983603394038426,0.979964804551801,0.978064438294359,1,0.999823209472843,0.995086811761151,0.979964804551801,0.978582366760289,0.970510025243981,0.977052887556277,0.979266481490567,0.979964804551801,0.980090227428527
"G_geno20",NA,0.981668115657126,NA,0.989369946980229,0.990254906653674,0.98524074211879,0.981668115657126,0.979785430925128,0.999823209472843,1,0.996260292289979,0.981668115657126,0.980378327931268,0.972390741739657,0.978820093777115,0.981024207662103,0.981668115657126,0.981778494174191
"G_geno10",NA,0.993677658768632,NA,0.996434973997579,0.997348680364893,0.995598583542807,0.993677658768632,0.992254412360712,0.995086811761151,0.996260292289979,1,0.993677658768632,0.992846920885166,0.985174486172998,0.990898241337339,0.993035881572269,0.993677658768632,0.993537010177163
"G_geno5",NA,1,NA,0.993278560629095,0.994732567448584,0.999006932142721,1,0.999260899679518,0.979964804551801,0.981668115657126,0.993677658768632,1,0.999686228351719,0.993127959564477,0.997562538238293,0.999238660280115,1,0.999612110409897
"G_geno2",NA,0.999686228351719,NA,0.992477545395667,0.993955045358762,0.998598159423602,0.999686228351719,0.998808634429699,0.978582366760289,0.980378327931268,0.992846920885166,0.999686228351719,1,0.992959285659414,0.997144164111416,0.998772471781926,0.999686228351719,0.999527536575888
"L_none",NA,0.993127959564477,NA,0.986130078049952,0.985926801629612,0.990802491108486,0.993127959564477,0.992734770891173,0.970510025243981,0.972390741739657,0.985174486172998,0.993127959564477,0.992959285659414,1,0.998285749757541,0.9952014898311,0.993127959564477,0.993337205053851
"L_ld08",NA,0.997562538238293,NA,0.990462742345232,0.990923425624051,0.995450458478063,0.997562538238293,0.997410194849934,0.977052887556277,0.978820093777115,0.990898241337339,0.997562538238293,0.997144164111416,0.998285749757541,1,0.999067108914438,0.997562538238293,0.99705260661372
"L_ld05",NA,0.999238660280115,NA,0.99247668014505,0.993403275064356,0.997551641085669,0.999238660280115,0.998923277451487,0.979266481490567,0.981024207662103,0.993035881572269,0.999238660280115,0.998772471781926,0.9952014898311,0.999067108914438,1,0.999238660280115,0.9985293640398
"L_ld02",NA,1,NA,0.993278560629095,0.994732567448584,0.999006932142721,1,0.999260899679518,0.979964804551801,0.981668115657126,0.993677658768632,1,0.999686228351719,0.993127959564477,0.997562538238293,0.999238660280115,1,0.999612110409897
"L_ld100",NA,0.999612110409897,NA,0.993650114445374,0.995090253895037,0.999140418732562,0.999612110409897,0.998196393981238,0.980090227428527,0.981778494174191,0.993537010177163,0.999612110409897,0.999527536575888,0.993337205053851,0.99705260661372,0.9985293640398,0.999612110409897,1
