# dataset K CV_error LogLikelihood
sens_D1_S2 1 1.09892 -336983.400113
sens_D1_S2 2 0.88955 -269336.267528
sens_D1_S2 3 0.72978 -217636.225115
sens_D1_S2 4 0.71290 -211049.048059
sens_D1_S2 5 0.67879 -197411.884828
sens_D1_S2 6 0.64217 -182791.393892
sens_D1_S2 7 0.62074 -174823.714006
sens_D1_S2 8 0.61055 -169045.855110
sens_D1_S2 9 0.60092 -164557.411306
sens_D1_S2 10 0.59354 -160936.895915
sens_D1_S3 1 1.01382 -57348.998814
sens_D1_S3 2 0.82293 -44612.543446
sens_D1_S3 3 0.79238 -40784.372313
sens_D1_S3 4 0.78313 -38093.345471
sens_D1_S3 5 0.77669 -36174.499116
sens_D1_S3 6 0.74876 -34059.830058
sens_D1_S3 7 0.76992 -32900.394557
sens_D1_S3 8 0.77915 -31380.139979
sens_D1_S3 9 0.81527 -30458.223349
sens_D1_S3 10 0.85526 -29340.725798
sens_D2_M0 1 0.84929 -522873.734978
sens_D2_M0 2 0.66238 -403491.544541
sens_D2_M0 3 0.57494 -346580.006920
sens_D2_M0 4 0.55603 -332540.223858
sens_D2_M0 5 0.51128 -300123.458473
sens_D2_M0 6 0.50929 -294948.729653
sens_D2_M0 7 0.49271 -283203.106129
sens_D2_M0 8 0.47683 -270199.436876
sens_D2_M0 9 0.47258 -265547.349249
sens_D2_M0 10 0.46512 -258629.029917
sens_D2_M1 1 0.86042 -518138.110123
sens_D2_M1 2 0.67137 -400101.665133
sens_D2_M1 3 0.58251 -343574.583700
sens_D2_M1 4 0.56013 -326361.681337
sens_D2_M1 5 0.51767 -297340.115430
sens_D2_M1 6 0.50010 -284484.174150
sens_D2_M1 7 0.48774 -274231.710255
sens_D2_M1 8 0.48092 -267571.067978
sens_D2_M1 9 0.47653 -262539.793108
sens_D2_M1 10 0.47063 -256122.530232
sens_D2_M2 1 0.96159 -501888.970624
sens_D2_M2 2 0.74613 -385702.674287
sens_D2_M2 3 0.64400 -329757.859631
sens_D2_M2 4 0.59576 -301161.715222
sens_D2_M2 5 0.57062 -285206.594458
sens_D2_M2 6 0.55641 -275489.944970
sens_D2_M2 7 0.53785 -262841.968217
sens_D2_M2 8 0.53037 -256792.331905
sens_D2_M2 9 0.52979 -252518.877603
sens_D2_M2 10 0.51900 -245862.465644
sens_D2_M4 1 1.21023 -384970.166226
sens_D2_M4 2 0.93966 -295858.064478
sens_D2_M4 3 0.79342 -247431.093790
sens_D2_M4 4 0.76300 -235590.864302
sens_D2_M4 5 0.71295 -217296.399627
sens_D2_M4 6 0.68453 -206455.576756
sens_D2_M4 7 0.65561 -195873.031765
sens_D2_M4 8 0.64342 -190461.029777
sens_D2_M4 9 0.63551 -186587.981344
sens_D2_M4 10 0.63512 -184681.503858
sens_D3_G020 1 1.05600 -542965.682100
sens_D3_G020 2 0.81265 -413759.227069
sens_D3_G020 3 0.69526 -350396.577026
sens_D3_G020 4 0.66913 -333313.450429
sens_D3_G020 5 0.62177 -305300.565344
sens_D3_G020 6 0.59997 -291146.471905
sens_D3_G020 7 0.57969 -280356.661669
sens_D3_G020 8 0.58334 -278761.943789
sens_D3_G020 9 0.56891 -267325.785060
sens_D3_G020 10 0.55903 -261200.619900
sens_D3_G010 1 1.05428 -511079.438133
sens_D3_G010 2 0.81745 -392527.512359
sens_D3_G010 3 0.69950 -332521.120661
sens_D3_G010 4 0.64692 -303873.498300
sens_D3_G010 5 0.62918 -292213.711587
sens_D3_G010 6 0.60348 -277485.398309
sens_D3_G010 7 0.58096 -263723.839842
sens_D3_G010 8 0.57379 -258151.703856
sens_D3_G010 9 0.57266 -254586.388353
sens_D3_G010 10 0.56275 -247846.583664
sens_D3_G002 1 1.03706 -385850.465825
sens_D3_G002 2 0.80862 -297872.476202
sens_D3_G002 3 0.69386 -253074.941216
sens_D3_G002 4 0.66954 -240976.076887
sens_D3_G002 5 0.61720 -218870.902896
sens_D3_G002 6 0.61588 -217656.438360
sens_D3_G002 7 0.57935 -201599.241038
sens_D3_G002 8 0.58612 -202362.963058
sens_D3_G002 9 0.56233 -191492.744461
sens_D3_G002 10 0.56006 -188630.826479
sens_D4_LDnone 1 1.06661 -10648757.006441
sens_D4_LDnone 2 0.61854 -6113140.897773
sens_D4_LDnone 3 0.54442 -5345929.038374
sens_D4_LDnone 4 0.53021 -5121497.262721
sens_D4_LDnone 5 0.44294 -4220133.925366
sens_D4_LDnone 6 0.43867 -4132547.728261
sens_D4_LDnone 7 0.42463 -3969204.606078
sens_D4_LDnone 8 0.41911 -3859688.101676
sens_D4_LDnone 9 0.41299 -3762985.044085
sens_D4_LDnone 10 0.41209 -3676891.147257
sens_D4_LD08 1 0.99388 -3598726.720798
sens_D4_LD08 2 0.70536 -2533033.230821
sens_D4_LD08 3 0.62199 -2217715.818878
sens_D4_LD08 4 0.61668 -2169146.297254
sens_D4_LD08 5 0.52350 -1816844.684335
sens_D4_LD08 6 0.51325 -1760998.272294
sens_D4_LD08 7 0.50498 -1721105.876915
sens_D4_LD08 8 0.49294 -1662041.222075
sens_D4_LD08 9 0.48612 -1616047.588276
sens_D4_LD08 10 0.48391 -1584539.349651
sens_D4_LD05 1 0.97170 -1565901.112076
sens_D4_LD05 2 0.74654 -1193275.594832
sens_D4_LD05 3 0.65008 -1031254.381208
sens_D4_LD05 4 0.58377 -914818.392816
sens_D4_LD05 5 0.56256 -870175.063458
sens_D4_LD05 6 0.55261 -845727.049639
sens_D4_LD05 7 0.53388 -810762.229229
sens_D4_LD05 8 0.52838 -793067.152235
sens_D4_LD05 9 0.51964 -770984.379061
sens_D4_LD05 10 0.51240 -753897.765104
sens_D4_LD100 1 1.04131 -322438.718685
sens_D4_LD100 2 0.85959 -263480.705934
sens_D4_LD100 3 0.74107 -224962.878460
sens_D4_LD100 4 0.72481 -217615.599233
sens_D4_LD100 5 0.66380 -197022.404962
sens_D4_LD100 6 0.65688 -192893.964310
sens_D4_LD100 7 0.62600 -180436.811147
sens_D4_LD100 8 0.63090 -181377.574373
sens_D4_LD100 9 0.60511 -172155.909614
sens_D4_LD100 10 0.60272 -168892.375686
rice_pruned 1 1.04161 -492342.566906
rice_pruned 2 0.80398 -376606.159253
rice_pruned 3 0.69746 -323642.855409
rice_pruned 4 0.67526 -310810.070948
rice_pruned 5 0.61484 -279084.479531
rice_pruned 6 0.60596 -272641.864898
rice_pruned 7 0.59572 -264934.821505
rice_pruned 8 0.57859 -255819.020278
rice_pruned 9 0.56743 -247335.048582
rice_pruned 10 0.56397 -243872.312542
rice_pruned2 1 1.03661 -483136.399746
rice_pruned2 2 0.79855 -368823.493376
rice_pruned2 3 0.69085 -316159.458472
rice_pruned2 4 0.66519 -301054.799749
rice_pruned2 5 0.60875 -272825.313073
rice_pruned2 6 0.58742 -260517.553396
rice_pruned2 7 0.58982 -259030.950806
rice_pruned2 8 0.56551 -246889.287014
rice_pruned2 9 0.56252 -241686.845993
rice_pruned2 10 0.54903 -234441.445544
rice_pruned3 1 1.04874 -464095.943428
rice_pruned3 2 0.81173 -355349.898721
rice_pruned3 3 0.69596 -302014.235005
rice_pruned3 4 0.64423 -275733.082761
rice_pruned3 5 0.61773 -261385.152262
rice_pruned3 6 0.61044 -255788.543746
rice_pruned3 7 0.59585 -247729.217293
rice_pruned3 8 0.57622 -236492.597063
rice_pruned3 9 0.56504 -229324.216153
rice_pruned3 10 0.55556 -223073.538405
sens_D3_Gnone 1 1.05101 -544116.141461
sens_D3_Gnone 2 0.81604 -418135.784741
sens_D3_Gnone 3 0.70024 -354555.454225
sens_D3_Gnone 4 0.67793 -339650.077336
sens_D3_Gnone 5 0.62270 -309161.564580
sens_D3_Gnone 6 0.60735 -298450.271991
sens_D3_Gnone 7 0.60612 -293720.004077
sens_D3_Gnone 8 0.58366 -278782.843110
sens_D3_Gnone 9 0.56920 -271325.215329
sens_D3_Gnone 10 0.56885 -267475.114414
